RA Latitude Longitude 
Arniqueira -15,8367 -48,0171 
Brazlândia -15,6701 -48,2005 
Candangolândia -15,8496 -47,949 
Ceilândia -15,8051 -48,1184 
Cruzeiro -15,7955 -47,9391 
Entorno DF nan nan 
Fercal -15,6019 -47,8684 
Gama -16,016 -48,0682 
Guará -15,8287 -47,9809 
Itapoã -15,7935  -47,9064 
Jardim Botânico -16,0447  -47,9302 
Lago Norte -15,7167 -47,8851 
Lago Sul -15,8121 -47,9259 
Núcleo Bandeirante -15,8711 -47,9708 
Paranoá -15,9101 -47,7597 
Park Way -15,8903 -47,9613 
Planaltina -15,6216 -47,6522 
Plano Piloto -15,7935 -47,8825 
Pôr do Sol -15,8286 -481300 
Recanto das Emas -15,9208 -48,0528 
Riacho Fundo -15,8781 -48,0202 
Riacho Fundo II -15,8997 -48,0511 
SCIA -15,7916 -47,9691 
SIA -15,8079 -47,9503 
Samambaia -15,8773 -48,0876 
Santa Maria -16,7407 -49,603 
Sistema Penitenciário nan nan 
Sobradinho -15,658 -47,7925 
Sobradinho II -15,6264 -47,808 
Sudoeste/Octogonal -15,795 -47,9267 
São Sebastião -15,9028 -47,776 
Taguatinga -15,8229 -48,0444 
Varjão -15,7064 -47,8821 
Vicente Pires -15,8032 -48,0175 
Águas Claras -15,8400 -48,0282 
